"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","PPP","TOT","NATUSD","A","1983",0.743541,
"IRL","PPP","TOT","NATUSD","A","1984",0.763431,
"IRL","PPP","TOT","NATUSD","A","1985",0.778409,
"IRL","PPP","TOT","NATUSD","A","1986",0.813019,
"IRL","PPP","TOT","NATUSD","A","1987",0.810836,
"IRL","PPP","TOT","NATUSD","A","1988",0.808634,
"IRL","PPP","TOT","NATUSD","A","1989",0.821095,
"IRL","PPP","TOT","NATUSD","A","1990",0.785697,
"IRL","PPP","TOT","NATUSD","A","1991",0.773686,
"IRL","PPP","TOT","NATUSD","A","1992",0.77772,
"IRL","PPP","TOT","NATUSD","A","1993",0.799042,
"IRL","PPP","TOT","NATUSD","A","1994",0.795593,
"IRL","PPP","TOT","NATUSD","A","1995",0.802896,
"IRL","PPP","TOT","NATUSD","A","1996",0.809337,
"IRL","PPP","TOT","NATUSD","A","1997",0.83474,
"IRL","PPP","TOT","NATUSD","A","1998",0.863389,
"IRL","PPP","TOT","NATUSD","A","1999",0.913882,
"IRL","PPP","TOT","NATUSD","A","2000",0.943538,
"IRL","PPP","TOT","NATUSD","A","2001",0.969212,
"IRL","PPP","TOT","NATUSD","A","2002",0.981997,
"IRL","PPP","TOT","NATUSD","A","2003",1.004971,
"IRL","PPP","TOT","NATUSD","A","2004",0.991974,
"IRL","PPP","TOT","NATUSD","A","2005",1.011707,
"IRL","PPP","TOT","NATUSD","A","2006",0.979542,
"IRL","PPP","TOT","NATUSD","A","2007",0.958956,
"IRL","PPP","TOT","NATUSD","A","2008",0.944447,
"IRL","PPP","TOT","NATUSD","A","2009",0.900621,
"IRL","PPP","TOT","NATUSD","A","2010",0.848854,
"IRL","PPP","TOT","NATUSD","A","2011",0.831513,
"IRL","PPP","TOT","NATUSD","A","2012",0.823072,
"IRL","PPP","TOT","NATUSD","A","2013",0.811228,
"IRL","PPP","TOT","NATUSD","A","2014",0.819041,
"IRL","PPP","TOT","NATUSD","A","2015",0.809686,
"IRL","PPP","TOT","NATUSD","A","2016",0.794289,
"IRL","PPP","TOT","NATUSD","A","2017",0.794405,
"IRL","PPP","TOT","NATUSD","A","2018",0.791185,
"IRL","PPP","TOT","NATUSD","A","2019",0.806851,
"IRL","PPP","TOT","NATUSD","A","2020",0.816018,
