"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1980",31.15,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1981",36.33,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1982",33.32,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1983",30.78,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1984",29.7,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1985",27.65,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1986",15.08,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1987",18.72,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1988",15.26,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1989",18.63,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1990",25.55,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1991",21.39,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1992",19.95,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1993",17.49,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1994",15.76,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1995",17.65,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1996",21.19,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1997",19.99,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1998",13.55,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","1999",17.14,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2000",29.88,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2001",25.31,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2002",25.52,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2003",29.66,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2004",39.24,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2005",55.24,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2006",66.38,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2007",74.16,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2008",100.39,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2009",62.61,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2010",80.95,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2011",113.92,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2012",115.64,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2013",110.46,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2014",99.87,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2015",53.54,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2016",45.03,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2017",55.01,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2018",72.18,
"IRL","OILIMPPRICE","TOT","USD_BAR","A","2019",65.03,
