"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1983",20.4655553173772,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1984",21.3408684786108,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1985",21.5925210124654,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1986",22.2061493973088,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1987",21.9848130463665,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1988",23.9479034552836,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1989",25.8726205365018,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1990",29.450964695171,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1991",30.2831705642593,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1992",30.8573910463924,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1993",31.4936546784567,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1994",32.99563813983,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1995",35.0683934999646,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1996",38.0783484174746,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1997",43.6759008417445,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1998",54.2163078125607,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","1999",65.8752157738259,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2000",79.4744848445133,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2001",89.3205038780744,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2002",95.5530972548496,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2003",109.141769769359,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2004",121.325332664479,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2005",131.81375,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2006",151.417,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2007",162.69375,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2008",151.4,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2009",122.412,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2010",105.976,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2011",87.8815000000001,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2012",76.03775,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2013",77.0045,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2014",89.7232500000001,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2016",107.4845,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2017",119.16175,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2018",131.3635,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2019",134.430750000038,
